Congress.gov API — Nominations, 119th Congress
Endpoint: https://api.congress.gov/v3/nomination/119 (limit=250, all pages)
Fetched: 2026-08-31
Total nomination records returned by the API: 2077
Tally of latestAction.text by leading phrase: {
 "confirmed": 1622,
 "other": 95,
 "pending-calendar": 42,
 "pending-referred": 205,
 "returned": 113
}

--- one line per nomination: citation | number | organization | latestAction.text ---
PN448 | 448 | Air Force | Confirmed by the Senate by Voice Vote.
PN611 | 611 | Army | Confirmed by the Senate by Voice Vote.
PN628 | 628 | Air Force | Confirmed by the Senate by Voice Vote.
PN637 | 637 | Army | Confirmed by the Senate by Voice Vote.
PN627 | 627 | Air Force | Confirmed by the Senate by Voice Vote.
PN641 | 641 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN629 | 629 | Air Force | Confirmed by the Senate by Voice Vote.
PN630 | 630 | Army | Confirmed by the Senate by Voice Vote.
PN631 | 631 | Army | Confirmed by the Senate by Voice Vote.
PN632 | 632 | Army | Confirmed by the Senate by Voice Vote.
PN633 | 633 | Army | Confirmed by the Senate by Voice Vote.
PN634 | 634 | Army | Confirmed by the Senate by Voice Vote.
PN636 | 636 | Army | Confirmed by the Senate by Voice Vote.
PN638 | 638 | Army | Confirmed by the Senate by Voice Vote.
PN639 | 639 | Army | Confirmed by the Senate by Voice Vote.
PN640 | 640 | Army | Confirmed by the Senate by Voice Vote.
PN635 | 635 | Army | Confirmed by the Senate by Voice Vote.
PN647 | 647 | Army | Confirmed by the Senate by Voice Vote.
PN643 | 643 | Navy | Confirmed by the Senate by Voice Vote.
PN642 | 642 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN644 | 644 | Space Force | Confirmed by the Senate by Voice Vote.
PN648 | 648 | Army | Confirmed by the Senate by Voice Vote.
PN649 | 649 | Navy | Confirmed by the Senate by Voice Vote.
PN348 | 348 | Space Force | Confirmed by the Senate by Voice Vote.
PN291-1 | 291 | Air Force | Confirmed by the Senate by Voice Vote.
PN25-44 | 25 | Department of Commerce | Received message of withdrawal of nomination from the President.
PN25-47 | 25 | Department of Education | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN24-3 | 24 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 427.
PN141-23 | 141 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-38 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-35 | 141 | Department of Justice | Received message of withdrawal of nomination from the President.
PN26-11 | 26 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 50 - 47. Record Vote Number: 419.
PN141-31 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN141-3 | 141 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN55-18 | 55 | Department of Homeland Security | Received message of withdrawal of nomination from the President.
PN345-15 | 345 | Department of Justice | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 492.
PN346-3 | 346 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 509.
PN346-6 | 346 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 47. Record Vote Number: 592.
PN418 | 418 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN413 | 413 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN346-5 | 346 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 53 - 46. Record Vote Number: 580.
PN379-6 | 379 | Department of Veterans Affairs | Received message of withdrawal of nomination from the President.
PN346-2 | 346 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 49. Record Vote Number: 448.
PN346-1 | 346 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 50 - 43. Record Vote Number: 504.
PN419 | 419 | Navy | Confirmed by the Senate by Voice Vote.
PN55-8 | 55 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN54-7 | 54 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-15 | 25 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 50 - 45. Record Vote Number: 383.
PN26-10 | 26 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 539.
PN55-16 | 55 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN60-10 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN60-9 | 60 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN141-7 | 141 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN141-28 | 141 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN129-8 | 129 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-46 | 55 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN60-14 | 60 | Department of Health and Human Services | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 445.
PN129-14 | 129 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN345-20 | 345 | Nuclear Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 50 - 39. Record Vote Number: 439.
PN381 | 381 | Air Force | Confirmed by the Senate by Voice Vote.
PN382 | 382 | Air Force | Confirmed by the Senate by Voice Vote.
PN380-3 | 380 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN380-4 | 380 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN384 | 384 | Air Force | Confirmed by the Senate by Voice Vote.
PN383 | 383 | Air Force | Confirmed by the Senate by Voice Vote.
PN386 | 386 | Air Force | Confirmed by the Senate by Voice Vote.
PN385 | 385 | Air Force | Confirmed by the Senate by Voice Vote.
PN387 | 387 | Air Force | Confirmed by the Senate by Voice Vote.
PN391 | 391 | Army | Confirmed by the Senate by Voice Vote.
PN389 | 389 | Army | Confirmed by the Senate by Voice Vote.
PN388 | 388 | Air Force | Confirmed by the Senate by Voice Vote.
PN392 | 392 | Army | Confirmed by the Senate by Voice Vote.
PN390 | 390 | Army | Confirmed by the Senate by Voice Vote.
PN393 | 393 | Army | Confirmed by the Senate by Voice Vote.
PN397 | 397 | Navy | Confirmed by the Senate by Voice Vote.
PN394 | 394 | Army | Confirmed by the Senate by Voice Vote.
PN395 | 395 | Navy | Confirmed by the Senate by Voice Vote.
PN396 | 396 | Navy | Confirmed by the Senate by Voice Vote.
PN398 | 398 | Navy | Confirmed by the Senate by Voice Vote.
PN399 | 399 | Space Force | Confirmed by the Senate by Voice Vote.
PN287 | 287 | Air Force | Confirmed by the Senate by Voice Vote.
PN12-27 | 12 | Department of the Treasury | Confirmed by the Senate by Yea-Nay Vote. 53 - 44. Record Vote Number: 308.
PN55-43 | 55 | Department of Defense | Confirmed by the Senate by Yea-Nay Vote. 72 - 22. Record Vote Number: 498.
PN26-31 | 26 | Department of Transportation | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN141-30 | 141 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 53 - 45. Record Vote Number: 461.
PN288 | 288 | Air Force | Confirmed by the Senate by Voice Vote.
PN290 | 290 | Air Force | Confirmed by the Senate by Voice Vote.
PN60-3 | 60 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN55-12 | 55 | Environmental Protection Agency | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN289 | 289 | Air Force | Confirmed by the Senate by Voice Vote.
PN307 | 307 | Navy | Confirmed by the Senate by Voice Vote.
PN293 | 293 | Army | Confirmed by the Senate by Voice Vote.
PN295 | 295 | Army | Confirmed by the Senate by Voice Vote.
PN296 | 296 | Navy | Confirmed by the Senate by Voice Vote.
PN292 | 292 | Army | Confirmed by the Senate by Voice Vote.
PN294 | 294 | Army | Confirmed by the Senate by Voice Vote.
PN297 | 297 | Navy | Confirmed by the Senate by Voice Vote.
PN298 | 298 | Navy | Confirmed by the Senate by Voice Vote.
PN299 | 299 | Navy | Confirmed by the Senate by Voice Vote.
PN301 | 301 | Navy | Confirmed by the Senate by Voice Vote.
PN300 | 300 | Navy | Confirmed by the Senate by Voice Vote.
PN302 | 302 | Navy | Confirmed by the Senate by Voice Vote.
PN309 | 309 | Navy | Confirmed by the Senate by Voice Vote.
PN310 | 310 | Navy | Confirmed by the Senate by Voice Vote.
PN311 | 311 | Navy | Confirmed by the Senate by Voice Vote.
PN303 | 303 | Navy | Confirmed by the Senate by Voice Vote.
PN308 | 308 | Navy | Confirmed by the Senate by Voice Vote.
PN304 | 304 | Navy | Confirmed by the Senate by Voice Vote.
PN305 | 305 | Navy | Confirmed by the Senate by Voice Vote.
PN306 | 306 | Navy | Confirmed by the Senate by Voice Vote.
PN313 | 313 | Navy | Confirmed by the Senate by Voice Vote.
PN312 | 312 | Navy | Confirmed by the Senate by Voice Vote.
PN314 | 314 | Space Force | Confirmed by the Senate by Voice Vote.
PN315 | 315 | Army | Confirmed by the Senate by Voice Vote.
PN316 | 316 | Army | Confirmed by the Senate by Voice Vote.
PN317 | 317 | Army | Confirmed by the Senate by Voice Vote.
PN322 | 322 | Navy | Confirmed by the Senate by Voice Vote.
PN318 | 318 | Army | Confirmed by the Senate by Voice Vote.
PN323 | 323 | Navy | Confirmed by the Senate by Voice Vote.
PN324 | 324 | Navy | Confirmed by the Senate by Voice Vote.
PN320 | 320 | Navy | Confirmed by the Senate by Voice Vote.
PN319 | 319 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN321 | 321 | Navy | Confirmed by the Senate by Voice Vote.
PN329 | 329 | Navy | Confirmed by the Senate by Voice Vote.
PN331 | 331 | Navy | Confirmed by the Senate by Voice Vote.
PN326 | 326 | Navy | Confirmed by the Senate by Voice Vote.
PN327 | 327 | Navy | Confirmed by the Senate by Voice Vote.
PN328 | 328 | Navy | Confirmed by the Senate by Voice Vote.
PN325 | 325 | Navy | Confirmed by the Senate by Voice Vote.
PN330 | 330 | Navy | Confirmed by the Senate by Voice Vote.
PN332 | 332 | Navy | Confirmed by the Senate by Voice Vote.
PN339 | 339 | Navy | Confirmed by the Senate by Voice Vote.
PN338 | 338 | Navy | Confirmed by the Senate by Voice Vote.
PN340 | 340 | Navy | Confirmed by the Senate by Voice Vote.
PN337 | 337 | Navy | Confirmed by the Senate by Voice Vote.
PN336 | 336 | Navy | Confirmed by the Senate by Voice Vote.
PN335 | 335 | Navy | Confirmed by the Senate by Voice Vote.
PN334 | 334 | Navy | Confirmed by the Senate by Voice Vote.
PN333 | 333 | Navy | Confirmed by the Senate by Voice Vote.
PN341 | 341 | Navy | Confirmed by the Senate by Voice Vote.
PN12-7 | 12 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 54 - 44. Record Vote Number: 447.
PN25-3 | 25 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 547.
PN25-54 | 25 | Department of Veterans Affairs | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 436.
PN474 | 474 | Navy | Confirmed by the Senate by Voice Vote.
PN556-6 | 556 | Army | Confirmed by the Senate by Voice Vote.
PN468 | 468 | Air Force | Confirmed by the Senate by Voice Vote.
PN445-6 | 445 | Nuclear Regulatory Commission | Confirmed by the Senate by Yea-Nay Vote. 66 - 32. Record Vote Number: 620.
PN129-9 | 129 | Department of the Treasury | Received message of withdrawal of nomination from the President.
PN13-5 | 13 | Department of Agriculture | Confirmed by the Senate by Yea-Nay Vote. 51 - 47. Record Vote Number: 526.
PN25-37 | 25 | Department of State | Confirmed by the Senate by Yea-Nay Vote. 57 - 43. Record Vote Number: 607.
PN400-3 | 400 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 45. Record Vote Number: 605.
PN400-1 | 400 | The Judiciary | Confirmed by the Senate by Yea-Nay Vote. 52 - 46. Record Vote Number: 604.
PN556-3 | 556 |  | Placed on Senate Executive Calendar. Calendar No. 496.
PN441-2 | 441 | Air Force | Confirmed by the Senate by Voice Vote.
PN522 | 522 | Army | Confirmed by the Senate by Voice Vote.
PN453 | 453 | Air Force | Confirmed by the Senate by Voice Vote.
PN451 | 451 | Air Force | Confirmed by the Senate by Voice Vote.
PN441-4 | 441 | Air Force | Confirmed by the Senate by Voice Vote.
PN521 | 521 | Army | Confirmed by the Senate by Voice Vote.
PN476-2 | 476 | Space Force | Confirmed by the Senate by Voice Vote.
PN525 | 525 | Army | Confirmed by the Senate by Voice Vote.
PN526 | 526 | Army | Confirmed by the Senate by Voice Vote.
PN527 | 527 | Army | Confirmed by the Senate by Voice Vote.
PN528 | 528 | Army | Confirmed by the Senate by Voice Vote.
PN523 | 523 | Army | Confirmed by the Senate by Voice Vote.
PN524 | 524 | Army | Confirmed by the Senate by Voice Vote.
PN529 | 529 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN531 | 531 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN530 | 530 | Marine Corps | Confirmed by the Senate by Voice Vote.
PN532 | 532 | Navy | Confirmed by the Senate by Voice Vote.
PN536 | 536 | Navy | Confirmed by the Senate by Voice Vote.
PN535 | 535 | Navy | Confirmed by the Senate by Voice Vote.
PN534 | 534 | Navy | Confirmed by the Senate by Voice Vote.
PN533 | 533 | Navy | Confirmed by the Senate by Voice Vote.
PN538 | 538 | Navy | Confirmed by the Senate by Voice Vote.
PN537 | 537 | Navy | Confirmed by the Senate by Voice Vote.
PN539 | 539 | Navy | Confirmed by the Senate by Voice Vote.
PN541 | 541 | Navy | Confirmed by the Senate by Voice Vote.
PN543 | 543 | Navy | Confirmed by the Senate by Voice Vote.
PN542 | 542 | Navy | Confirmed by the Senate by Voice Vote.
PN540 | 540 | Navy | Confirmed by the Senate by Voice Vote.
PN546 | 546 | Navy | Confirmed by the Senate by Voice Vote.
PN545 | 545 | Navy | Confirmed by the Senate by Voice Vote.
PN544 | 544 | Navy | Confirmed by the Senate by Voice Vote.
PN554-1 | 554 | Air Force | Confirmed by the Senate by Voice Vote.
PN556-5 | 556 | Army | Confirmed by the Senate by Voice Vote.
PN554-2 | 554 | Space Force | Confirmed by the Senate by Voice Vote.
